msgctxt,msgid,msgid_plural,target_lang,status,issues
,BroadNews,,ar,new,
,https://afthemes.com/products/broadnews/,,ar,new,unchanged_like
,"BroadNews is a versatile WordPress theme designed for news, blogs, and magazines. The theme has a number of free starter sites that may be easily integrated to create a superb news center. The theme is fully widgetized, with 7+ unique widgets and 8+ widget areas that allow users to tailor site content. It also has a light and dark color mode for browsing articles and blog posts in a trendy way. It also contains a number of essential customizer options for constructing a visually beautiful news site. You may configure it whatever you want and preview how it looks before making any changes with the live customizer. It supports Gutenberg blocks, RTL, and the WooCommerce plugin, which allows you to combine an online store. The theme is suitable for use on a news, journal, magazine, publication, or review website, as well as for blogging. It's well-designed to help the website rank higher in search engines, and users will receive fantastic support from the team if they have any problems utilizing it.",,ar,new,
,AF themes,,ar,new,
,https://www.afthemes.com/,,ar,new,unchanged_like
,Oops! That page can&rsquo;t be found.,,ar,new,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,ar,new,
,%s,,ar,new,unchanged_like
,Starter Sites,,ar,new,
,Block Patterns,,ar,new,
,Elementor Kits,,ar,new,
,Customize,,ar,new,
,Settings,,ar,new,
,Upgrade,,ar,new,
,The Templatespare plugin should be updated to the latest version,,ar,new,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,ar,new,
,Blockspare plugin version should be more than %s.,,ar,new,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,ar,new,
,Elespare plugin version should be more than %s.,,ar,new,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,ar,new,
,Are you sure you want to install this plugin?,,ar,new,
,Install Now,,ar,new,
,Activate,,ar,new,
,Activated,,ar,new,
,Get Starter Sites,,ar,new,
,Get Started,,ar,new,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,ar,new,
,By,,ar,new,
,More Details,,ar,new,
,Howdy!,,ar,new,
,%s is now installed and ready to use. We've assembled some links to get you started.,,ar,new,
,Explore Our Pre-Built Starter Websites!,,ar,new,
,"Let your imagination soar! Designed with User-Friendly features, incorporating the Latest Trends and SEO-Friendly Markups. We genuinely appreciate you choosing our theme!",,ar,new,
,Demos/product,,ar,new,
,Theme dashboard,,ar,new,
,Documentation,,ar,new,
,Please check our full documentation for detailed information on how to setup and customize the theme.,,ar,new,
,Docs,,ar,new,
,Videos,,ar,new,
,Blog,,ar,new,
,Rate This Theme,,ar,new,
,"Sorry, you are not allowed to install plugins on this site.",,ar,new,
,"Error - unable to verify nonce, please try again.",,ar,new,
,"Sorry, you are not allowed to activate plugins on this site.",,ar,new,
,One thought on &ldquo;%1$s&rdquo;,,ar,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,ar,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,ar,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,ar,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,ar,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,ar,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,ar,new,
,Comments are closed.,,ar,new,
,%1$s by %2$s.,,ar,new,
,Primary Menu,,ar,new,
,Social Menu,,ar,new,
,Footer Menu,,ar,new,
%s font: on or off,on,,ar,new,
,Skip to content,,ar,new,
,-- Select --,,ar,new,
,Subscribe,,ar,new,
,Trending,,ar,new,
,Exclusive News,,ar,new,
,Must Read,,ar,new,
,Main News,,ar,new,
,Trending Now,,ar,new,
,Editor's Picks,,ar,new,
,Trending Story,,ar,new,
,Featured News,,ar,new,
,Read More,,ar,new,
,Related News,,ar,new,
,You may have missed,,ar,new,
,Copyright &copy; All rights reserved.,,ar,new,unchanged_like
,Background Color,,ar,new,
,Site Title Size,,ar,new,
,Uppercase Site Title and Tagline,,ar,new,
,Site Title/Tagline Color,,ar,new,
,Header Image Mode,,ar,new,
,Image visibility may vary as per the mode,,ar,new,
,Set as Background,,ar,new,
,Show Full Image,,ar,new,
,Enable Image Tint/Overlay,,ar,new,
,BroadNews Pro,,ar,new,
,Upgrade Now,,ar,new,
,Site Title/Tagline Color (Dark Mode),,ar,new,
,Site Color Mode,,ar,new,
,Light,,ar,new,
,Dark,,ar,new,
,Primary Color Section ,,ar,new,
,Background Color (Dark Mode),,ar,new,
,Background Color (Dark Mode) will be applied for this mode.,,ar,new,
,Primary Color,,ar,new,
,Secondary Color Section ,,ar,new,
,Secondary Color,,ar,new,
,Primary Navigation Section ,,ar,new,
,Category Color Section ,,ar,new,
,Category Colors,,ar,new,
,Category %d Background,,ar,new,
,Fonts & Typography,,ar,new,
,Font Family Section,,ar,new,unchanged_like
,Site Title Font,,ar,new,
,Primary Font,,ar,new,
,Secondary Font,,ar,new,
,Main Banner Options,,ar,new,
,Main Banner,,ar,new,
,Enable Main Banner Section,,ar,new,
,Main Banner Background Image,,ar,new,
,Recommended Size %1$s px X %2$s px,,ar,new,
,Select Main Banner Order,,ar,new,
,Order 1,,ar,new,
,Order 2,,ar,new,
,Order 3,,ar,new,
,Order 4,,ar,new,
,Main News Section ,,ar,new,
,Filter Posts By,,ar,new,
,Category,,ar,new,
,Tag,,ar,new,
,Select Category,,ar,new,
,Select category to be shown on main slider section,,ar,new,
,Select Tag,,ar,new,
,Select tag to be shown on main slider section,,ar,new,
,Enable Autoplay,,ar,new,
,Editor's Picks Section,,ar,new,
,Section Title ,,ar,new,
,Trending Section,,ar,new,
,Popular Tags,,ar,new,
,Enable Trending Tags,,ar,new,
,Order Tags By,,ar,new,
,Popularity,,ar,new,
,Latest,,ar,new,
,Enable Exclusive News,,ar,new,
,Flash Posts Category,,ar,new,
,Select category to be shown on trending posts ,,ar,new,
,Frontpage Options,,ar,new,
,Posts Carousel,,ar,new,
,Enable Posts Carousel Section,,ar,new,
,Select ,,ar,new,
,Select category to be shown on featured section ,,ar,new,
,Frontpage Layout Settings,,ar,new,
,Frontpage Content Alignment,,ar,new,
,Select frontpage content alignment,,ar,new,
,Home Content - Home Sidebar,,ar,new,
,Home Sidebar - Home Content,,ar,new,
,Only Home Content,,ar,new,
,Header Options,,ar,new,
,Header Settings,,ar,new,
,Primary Menu Desc (Badge),,ar,new,
,Enable,,ar,new,
,Disable,,ar,new,
,Site Mode Switch,,ar,new,
,Top Header Section,,ar,new,
,Show Top Header,,ar,new,
,Show Social Menu,,ar,new,
,Show Date,,ar,new,
,Show Time,,ar,new,
,Time Format,,ar,new,
,12 hours,,ar,new,
,24 hours,,ar,new,
,From WordPress Settings,,ar,new,
,Header Advertisement,,ar,new,
,Header Section Advertisement,,ar,new,
,URL Link,,ar,new,
,Theme Options,,ar,new,
,Site Layout Mode,,ar,new,
,Enable Gaps Around,,ar,new,
,Breadcrumb Options,,ar,new,
,Show breadcrumbs,,ar,new,
,Select Breadcrumbs,,ar,new,
,Please ensure that you have enabled the plugin's breadcrumbs before choosing other than Default,,ar,new,
,Default,,ar,new,
,Yoast SEO,,ar,new,
,Rank Math,,ar,new,
,NavXT,,ar,new,
,Global Settings,,ar,new,
,Enable Preloader,,ar,new,
,Global Content Alignment,,ar,new,
,Content - Primary sidebar,,ar,new,
,Primary sidebar - Content,,ar,new,
,Full width content,,ar,new,
,Categories Settings,,ar,new,
,Post Categories,,ar,new,
,Show,,ar,new,
,Hide,,ar,new,
,Categories in Archives,,ar,new,
,Show All,,ar,new,
,Show Top Category,,ar,new,
,Number of Categories,,ar,new,
,Comment Count,,ar,new,
,Author and Date Settings,,ar,new,
,For Spotlight Posts,,ar,new,
,Show Date and Author,,ar,new,
,Hide All,,ar,new,
,Author Icon/Gravatar,,ar,new,
,Show Gravatar,,ar,new,
,Show Icon,,ar,new,
,None,,ar,new,
,Post Date Type,,ar,new,
,Published Date,,ar,new,
,Modified Date,,ar,new,
,Date Format,,ar,new,
,WordPress Default Date Format,,ar,new,
,Ago Date Format,,ar,new,
,Minutes Read Count,,ar,new,
,Excerpt Settings,,ar,new,
,Global Excerpt Read More,,ar,new,
,Custom Menu Section,,ar,new,
,Enable Custom Menu Section,,ar,new,
,Icon,,ar,new,
,Bell,,ar,new,
,Play,,ar,new,
,User,,ar,new,
,FontAwesome Code,,ar,new,
,Title,,ar,new,
,Link,,ar,new,
,Single Post,,ar,new,
,Content Options,,ar,new,
,Show Featured Image,,ar,new,
,Single Content,,ar,new,
,Spacious,,ar,new,
,Compact,,ar,new,
,Social Share,,ar,new,
,Defined Links,,ar,new,
,Theme,,ar,new,
,JetPack,,ar,new,
,Facebook,,ar,new,
,Twitter,,ar,new,
,Email,,ar,new,
,Related Posts Settings,,ar,new,
,Enable Related Posts,,ar,new,
,Archive Settings,,ar,new,
,Archive layout,,ar,new,
,Select layout for archive,,ar,new,
,Grid,,ar,new,
,Full,,ar,new,
,Make First Post Full,,ar,new,
,Sidebar Settings,,ar,new,
,Make Sidebar Sticky,,ar,new,
,Sidebar Sticky Position,,ar,new,
,Top,,ar,new,
,Bottom,,ar,new,
,You May Have Missed,,ar,new,
,Show Above Footer,,ar,new,
,Posts Section Title,,ar,new,
,Footer,,ar,new,
,Footer Background Image,,ar,new,
,Copyright Text,,ar,new,
,Hide footer Menu Section,,ar,new,
,Pages:,,ar,new,
