msgctxt,msgid,msgid_plural,target_lang,status,issues
,ChromeNews,,en,unchanged,unchanged_like
,https://afthemes.com/products/chromenews/,,en,unchanged,unchanged_like
,"ChromeNews is a powerful WordPress theme that's perfect for news, blogs, and magazines. The theme comes with a number of free starter sites that may be easily integrated to construct a fantastic news hub. The theme is fully widgetized, with 9+ custom widgets and widget sections, allowing users to customize site content. It also offers a light and dark color mode for viewing articles and blog posts in a fashionable manner. It also includes a variety of useful customizer choices for creating an aesthetically pleasing news site. You may set it up as you want and see how it looks before making any changes with the live customizer. It supports Gutenberg blocks and Elementor, as well as the WooCommerce plugin, allowing you to combine an online store with our newspaper theme. The RTL languages supported theme is appropriate for a news, journal, magazine, publishing, or review website, as well as blogging. It's well-designed to help the website rank higher in search engines, and users will receive excellent support from the staff if they run into any issues while using it. Find demos: https://afthemes.com/products/chromenews/#aft-view-starter-sites Videos: https://www.youtube.com/@wpafthemes/ Docs: https://docs.afthemes.com/chromenews/",,en,unchanged,unchanged_like
,AF themes,,en,unchanged,unchanged_like
,https://www.afthemes.com/,,en,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,en,unchanged,unchanged_like
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,en,unchanged,unchanged_like
,Dashboard,,en,unchanged,unchanged_like
,Customize,,en,unchanged,unchanged_like
,Starter Sites,,en,unchanged,unchanged_like
,Elementor Kits,,en,unchanged,unchanged_like
,Block Patterns,,en,unchanged,unchanged_like
,Upgrade to Pro,,en,unchanged,unchanged_like
,Upgrade Now,,en,unchanged,unchanged_like
,The Templatespare plugin should be updated to the latest version,,en,unchanged,unchanged_like
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,en,unchanged,unchanged_like
,Blockspare plugin version should be more than %s.,,en,unchanged,unchanged_like
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,en,unchanged,unchanged_like
,Elespare plugin version should be more than %s.,,en,unchanged,unchanged_like
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,en,unchanged,unchanged_like
,Are you sure you want to install this plugin?,,en,unchanged,unchanged_like
,Install Now,,en,unchanged,unchanged_like
,Activate,,en,unchanged,unchanged_like
,Activated,,en,unchanged,unchanged_like
,Get Starter Sites,,en,unchanged,unchanged_like
,Get Started,,en,unchanged,unchanged_like
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,en,unchanged,unchanged_like
,By,,en,unchanged,unchanged_like
,More Details,,en,unchanged,unchanged_like
,"👋 Welcome, and Thank You!",,en,unchanged,unchanged_like
,"%s is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,en,unchanged,unchanged_like
,🚀 Start With One Click,,en,unchanged,unchanged_like
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,en,unchanged,
,View Demos,,en,unchanged,unchanged_like
,Theme dashboard,,en,unchanged,unchanged_like
,🤝 We're Here for You,,en,unchanged,unchanged_like
,Whether you're just starting or customizing your site.,,en,unchanged,unchanged_like
,Documentation,,en,unchanged,unchanged_like
,Videos,,en,unchanged,unchanged_like
,Support,,en,unchanged,unchanged_like
,⭐ Rate This Theme,,en,unchanged,unchanged_like
,"Sorry, you are not allowed to install plugins on this site.",,en,unchanged,unchanged_like
,"Error - unable to verify nonce, please try again.",,en,unchanged,unchanged_like
,"Sorry, you are not allowed to activate plugins on this site.",,en,unchanged,unchanged_like
,One thought on &ldquo;%1$s&rdquo;,,en,unchanged,unchanged_like
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,en,unchanged,unchanged_like
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,en,unchanged,
,Comments are closed.,,en,unchanged,unchanged_like
,%1$s by %2$s.,,en,unchanged,unchanged_like
,Primary Menu,,en,unchanged,unchanged_like
,Social Menu,,en,unchanged,unchanged_like
,Footer Menu,,en,unchanged,unchanged_like
%s font: on or off,on,,en,unchanged,unchanged_like
,Skip to content,,en,unchanged,unchanged_like
,"Click the setting <span class=""dashicons dashicons-admin-generic""></span> on each element to customize its settings.",,en,unchanged,unchanged_like
,Hide builder panel,,en,unchanged,unchanged_like
,Hide Builder,,en,unchanged,unchanged_like
,Device view controls,,en,unchanged,unchanged_like
,Choose an Element,,en,unchanged,unchanged_like
,Close choose element modal,,en,unchanged,unchanged_like
,Header Builder,,en,unchanged,unchanged_like
,Footer Builder,,en,unchanged,unchanged_like
,Footer Layout,,en,unchanged,unchanged_like
,Create dynamic header effortlessly with drag-and-drop builder.,,en,unchanged,unchanged_like
,Header,,en,unchanged,unchanged_like
,Create dynamic footer effortlessly with drag-and-drop builder.,,en,unchanged,unchanged_like
,Footer,,en,unchanged,unchanged_like
,Enable %s Builder,,en,unchanged,unchanged_like
,Add Element,,en,unchanged,unchanged_like
,Remove Element,,en,unchanged,unchanged_like
,Configure Element,,en,unchanged,unchanged_like
,Desktop,,en,unchanged,unchanged_like
,Element Settings,,en,unchanged,unchanged_like
,Site & Logo,,en,unchanged,unchanged_like
,Site Identity,,en,unchanged,unchanged_like
,You can change Site Identity from %s.,,en,unchanged,unchanged_like
,Promotion,,en,unchanged,unchanged_like
,Off Canvas,,en,unchanged,unchanged_like
,Off Canvas Widget Area,,en,unchanged,unchanged_like
,This widget area is used in the mobile off-canvas panel. %s,,en,unchanged,unchanged_like
,Manage widgets,,en,unchanged,unchanged_like
,Primary menu,,en,unchanged,unchanged_like
,Select Menu,,en,unchanged,unchanged_like
,You can change Menu from menu panel. %s,,en,unchanged,unchanged_like
,Manage menu,,en,unchanged,unchanged_like
,Date,,en,unchanged,unchanged_like
,Choose date format,,en,unchanged,unchanged_like
,You can change date from general settings (Settings > General > Date Format). %s,,en,unchanged,unchanged_like
,Manage Date,,en,unchanged,unchanged_like
,Top Navigation,,en,unchanged,unchanged_like
,pro,,en,unchanged,unchanged_like
,Site Mode,,en,unchanged,unchanged_like
,Custom HTML,,en,unchanged,unchanged_like
,HTML Content,,en,unchanged,unchanged_like
,Search,,en,unchanged,unchanged_like
,Searc Form,,en,unchanged,
,Custom Link,,en,unchanged,unchanged_like
,Custom link,,en,unchanged,unchanged_like
,live,,en,unchanged,unchanged_like
,Widget 1,,en,unchanged,unchanged_like
,Select Widget,,en,unchanged,unchanged_like
,Widget 2,,en,unchanged,unchanged_like
,Widget 3,,en,unchanged,unchanged_like
,Navigation,,en,unchanged,unchanged_like
,Pro,,en,unchanged,unchanged_like
,Copyright,,en,unchanged,unchanged_like
